['Music Not Synced', 'Not Synced']
['charleston', 'Charleston Walk']
['charleston', 'Cross Step']
['charleston', 'Double']
['charleston', 'Flapper Walk']
['charleston', 'Kicks']
['charleston', 'Knocky Knees']
['charleston', 'Messaround']
['charleston', 'Opposites']
['charleston', 'Scarecrow']
['charleston', 'Shimmy']
['charleston', 'Side to Side']
['charleston', 'Single']
['charleston', 'Skating Step']
['charleston', 'Spank The Baby']
['charleston', 'Squats']
['charleston_frame_label', 'Charleston Walk']
['charleston_frame_label', 'Cross Step']
['charleston_frame_label', 'Double']
['charleston_frame_label', 'Flapper Walk']
['charleston_frame_label', 'Helicopter']
['charleston_frame_label', 'Hip sway']
['charleston_frame_label', 'Jazz Square']
['charleston_frame_label', 'Kicks']
['charleston_frame_label', 'Knees Sway']
['charleston_frame_label', 'Knocky Knees']
['charleston_frame_label', 'Messaround']
['charleston_frame_label', 'Opposites']
['charleston_frame_label', 'Scarecrow']
['charleston_frame_label', 'Shimmy']
['charleston_frame_label', 'Side to Side']
['charleston_frame_label', 'Single']
['charleston_frame_label', 'Skating Step']
['charleston_frame_label', 'Spank the Baby']
['charleston_frame_label', 'Spin']
['charleston_frame_label', 'Squats']
['charleston_frame_label', 'Stomp Forward']
['charleston_frame_label', 'Swing kicks']
['charleston_frame_label', 'Swings']
['charleston_frame_label', 'Toe Tap Back']
['hip_hop', 'Backward Glide']
['hip_hop', 'Body Roll']
['hip_hop', 'Down Bounce']
['hip_hop', 'Down Rock']
['hip_hop', 'Foot Slide Back']
['hip_hop', 'Forward Glide']
['hip_hop', 'Running Man']
['hip_hop', 'Side Rock']
['hip_hop', 'Up Bounce']
['hip_hop', 'Up Rock']
['hip_hop_frame_label', 'Back Step']
['hip_hop_frame_label', 'Bart Simpson']
['hip_hop_frame_label', 'Biz Markie']
['hip_hop_frame_label', 'Body Roll Down']
['hip_hop_frame_label', 'Body Roll Up']
['hip_hop_frame_label', 'Bounce']
['hip_hop_frame_label', 'Bounce Step']
['hip_hop_frame_label', 'Cabbage Patch']
['hip_hop_frame_label', 'Chug']
['hip_hop_frame_label', 'Crisscross']
['hip_hop_frame_label', 'Dougie']
['hip_hop_frame_label', 'Drag']
['hip_hop_frame_label', 'Forward Rock']
['hip_hop_frame_label', 'Front Step']
['hip_hop_frame_label', 'Glide Shift']
['hip_hop_frame_label', 'Ground Switch']
['hip_hop_frame_label', 'Gucci']
['hip_hop_frame_label', 'Happy Feet']
['hip_hop_frame_label', 'Harlem Shake']
['hip_hop_frame_label', 'HeelToe Slide']
['hip_hop_frame_label', 'Hip Thrust']
['hip_hop_frame_label', 'Jerk']
['hip_hop_frame_label', 'Kick and drop']
['hip_hop_frame_label', 'Knee Bend']
['hip_hop_frame_label', 'Knee in']
['hip_hop_frame_label', 'March Step']
['hip_hop_frame_label', 'Patty Duke']
['hip_hop_frame_label', 'Point']
['hip_hop_frame_label', 'Pony']
['hip_hop_frame_label', 'Punch Out']
['hip_hop_frame_label', 'Roger Rabbit']
['hip_hop_frame_label', 'Rolling Arms']
['hip_hop_frame_label', 'Runnin in place']
['hip_hop_frame_label', 'Running Man']
['hip_hop_frame_label', 'Running man challenge']
['hip_hop_frame_label', 'Side Rock']
['hip_hop_frame_label', 'Side Scoop']
['hip_hop_frame_label', 'Side Step']
['hip_hop_frame_label', 'Slide']
['hip_hop_frame_label', 'Smurf']
['hip_hop_frame_label', 'Sneeze']
